ID,#日本語(原文),#やさしい日本語,#英語(原文),
308,彼女は上品ぶっている。,彼女は品が高いように見せている。,she is prudish .,
309,あの二人できてるの？,あの二人できてるの？,are those two going out ?,
310,彼らは普段自転車で登校します。,彼らはいつも自転車で学校に行きます。,they usually go to school by bicycle .,
311,私はいまはなにもすることができません。,私は今はなにもすることができません。,i have nothing to do now .,
312,いつでも自分で謝るべきだ。,いつでも自分で謝るべきだ。,you should always apologize in person .,
313,彼女は心が優しい。,彼女は心が優しい。,she has a gentle heart .,
314,子供を甘やかすな。,子供のしたいままにさせるな。,don 't spoil your child .,
315,パソコンの使い方を知っていますか。,コンピューターの使い方を知っていますか。,do you know how to use a personal computer ?,
316,父は私にあまり忠告しなかった。,父は私にあまり注意しなかった。,my father never gave me much advice .,
317,非常の場合は警察を呼びなさい。,非常の場合は警察を呼びなさい。,call the police in an emergency .,
318,人間は誘惑にかかりやすい。,人間は心を動かされやすい。,men are subject to temptation .,
319,順番をお待ち下さい。,順番をお待ちください。,"wait for your turn , please .",
320,彼は１０時にここに来て１１時に帰った。,彼は１０時にここに来て１１時に帰った。,he came here at ten and went back at eleven .,
321,彼はでくの坊にすぎない。,彼は役に立たない人にすぎない。,he is no better than a fool .,
322,彼女は結婚したい気がしている。,彼女は結婚したい気がしている。,she is disposed to get married .,
323,彼の字を読むことは不可能だ。,彼の字を読むことは不可能だ。,his writing is impossible to read .,
324,間もなく彼らは結婚します。,間もなく彼らは結婚します。,it won 't be long before they get married .,
325,今十分な食料がある。,今十分に食べる物ある。,we have enough food now .,
326,涙が私の顔を伝わって落ちた。,涙が私の顔を流れて落ちた。,tears ran down my face .,
327,ここは交通量が多い。,ここは交通量が多い。,traffic is busy here .,
328,彼の妻は彼のためにドアを開けた。,彼の妻は彼のためにドアを開けた。,his wife opened the door for him .,
329,男であるならそのように振舞いなさい。,男であるならそのように動きなさい。,"if you are a man , behave as such .",
330,愛の力は世界を動かす。,愛の力は世界を動かす。,love makes the world go round .,
331,その時にしていただろう。,その時にしていただろう。,i would have done it at that time .,
332,私は彼女の手の温かさを覚えている。,私は彼女の手のあたたかさを覚えている。,i can remember the warmth of her hands .,
333,私の計画は車を買うことです。,私の計画は車を買うことです。,my plan is to buy a car .,
334,彼女は試験に失敗しないように一生懸命勉強した。,彼女は試験に失敗しないように頑張って勉強した。,she studied hard lest she should fail in the exam .,
335,一方は知っているが他方は知らない。,一方は知っているがもう一方は知らない。,i know one of them but not the other .,
336,私たちは授業中英語を使う。,私たちは授業中英語を使う。,we speak english in class .,
337,私は船酔いしない。,私は船で具合が悪くならない。,i 'm a good sailor .,
338,私は喜んであなたのお供をします。,私は喜んであなたに付いて行きます。,i am ready to follow you .,
339,彼はあの車に一万ドル以上かけていた。,彼はあの車に１万ドル以上かけていた。,his car cost him upward of ten thousand dollars .,
340,トムとジョンは仲良しです。,トムとジョンは仲がいい。,tom and john are good friends .,
341,彼女はその金がなくなっていることに気付いた。,彼女はその金がなくなっていることに気が付いた。,she found the money gone .,
